name,a,diameter,moid
,1.692095866188180,0.663,0.0288179
,1.190649007567690,0.192,0.0291278
,1.92605586867466,0.875,0.0293707
,1.003162204530310,0.357,0.029686
,2.717257829961050,0.216,0.0298148
Geographos,1.245302338512840,2.56,0.0298285
,1.753508041396480,3.006,0.0301876
,0.8553149303033180,0.237,0.0304362
,0.9229905381442080,0.369,0.030471
,2.249152882290960,0.140,0.0306352
,2.384011514208680,0.214,0.0306633
,2.680498116693620,1.778,0.0306794
,2.134030464107660,2.233,0.0306868
,1.41139759330213,0.780,0.0309945
,1.154513724133350,0.149,0.0313093
,1.008079696058750,0.451,0.0314118
,2.10872525242574,0.654,0.0318212
,1.92431616413247,0.554,0.031929
,1.192939034624740,0.083,0.0321414
,1.771456553540100,0.193,0.0322953
,1.832546035582320,0.84,0.0324616
,0.9038746142790240,0.118,0.0327579
,2.259207449895230,0.653,0.032917
,0.9896914360152900,0.212,0.033142
,2.458060231503040,0.881,0.0331546
,0.9396310584710620,0.087,0.033195
,2.799528346465310,0.13,0.0332825
,0.9598316248931030,0.032,0.0333229
,0.9287449375948730,0.55,0.0334274
,1.024596925172890,0.386,0.0335875
,1.75512819082022,0.089,0.0336626
,1.897073825783300,0.412,0.033932
,1.195132490663560,0.097,0.0339973
,1.341404413190650,0.432,0.0340425
Tomaiyowit,1.079645465476710,0.738,0.0342079
Icarus,1.078094607698460,1.0,0.0342747
,0.7707928910834240,0.227,0.0344351
,0.7812254849530860,1.900,0.0349632
,0.9044202384279380,0.308,0.0350438
,1.133344926726580,1.136,0.0351895
,1.225602445786030,0.200,0.035587
,2.384187186730910,0.701,0.0357676
,1.984207802995870,0.053,0.0357697
,2.545966413967190,0.982,0.0357866
,1.299684043123330,0.971,0.0358883
,1.403031194844620,0.939,0.0360268
,1.464389042737190,0.461,0.0363885
Anagolay,1.834657448976250,0.5,0.0367128
,2.968578152098110,0.535,0.0369941
,2.380104795605250,0.095,0.0375065
,1.454681942391310,0.361,0.0382135
,1.722752003753190,0.226,0.0384819
Didymos,1.644267944704790,0.78,0.0397774
,1.355610722704730,0.558,0.0398314
,1.698408089366110,2.000,0.0401275
,2.651707539115980,0.712,0.0404389
,0.8443580075649800,0.090,0.0406846
,1.843672665231250,1.282,0.0408381
,2.499855678985970,0.363,0.0422384
,1.451254758776610,1.039,0.0423357
,2.652174999004410,0.574,0.0424134
,2.445062206903010,0.380,0.0429318
Wilson-Harrington,2.626611456134700,4,0.0430867
,2.004495643812260,1.515,0.0431035
,1.598340252658140,0.159,0.0432712
,2.689838440351250,0.203,0.0433218
,2.161674867449090,0.9,0.0434455
,1.012510425723700,0.129,0.043449
Tantalus,1.290099740994850,1.649,0.0434647
,1.133187177842750,0.198,0.0436053
Florence,1.768889518826770,4.9,0.0441982
,2.578206452666840,0.598,0.0450766
,1.629055934957800,0.238,0.0452041
,2.180614317499570,0.088,0.0453618
,1.128618013273540,0.298,0.0454152
,1.248441187798430,0.938,0.0456965
,0.8116560138081300,0.111,0.0460667
,0.8532446375130360,0.176,0.0460687
,1.172023649845220,0.037,0.0461665
,0.8496575297528250,0.293,0.0462414
Mithra,2.199680865024550,1.849,0.0463988
,1.915699441586260,0.538,0.0469476
,1.866537300668640,1.115,0.0470487
,1.083999121571430,2.914,0.0471534
,0.8931282994275920,0.398,0.0476432
,1.432731727166430,0.071,0.0476521
,1.37059560417404,0.843,0.047974
,0.8831210737421940,1.462,0.048097
,1.046111625998700,0.785,0.0483199
,2.688632395162050,0.851,0.0486391
,1.362342620337380,0.216,0.0495224
,1.274852495081310,0.417,0.0496546
,1.2432305029919,0.273,0.0497201
,1.665169552052150,0.102,0.0497976
,2.097428863309520,0.150,0.0498108
,0.9551114395597610,0.277,0.0501445
,1.966892606895770,2.137,0.0505862
Toro,1.367431915074260,3.4,0.0507259
,2.844111657242040,0.330,0.0508371
,1.037531457238590,0.382,0.0512475
,1.98681910731675,2,0.0514935
,2.361952382403010,2.900,0.0515989
,0.7867255212373370,0.308,0.0516781
,3.060415116997210,0.962,0.0520181
,2.435651867056960,0.945,0.0527983
,3.262149252488200,0.561,0.0528189
,1.373677546145910,0.463,0.0528707
,0.7837814127561120,0.413,0.0532395
,1.900280172817220,0.176,0.0535882
,1.146585989693640,0.084,0.0536338
,1.072691072834590,0.192,0.0537553
,1.354902830183270,1.668,0.0542157
,1.099100632122350,0.104,0.0543604
,2.199170660604480,0.101,0.0547599
,1.354988197466860,0.088,0.0547632
,2.252490367932590,0.399,0.0547708
,3.374795108759110,2.156,0.0548871
,2.582432945763820,0.075,0.0549395
,1.149409492110040,0.193,0.0552482
,1.639877897994460,2.240,0.0553007
,0.8883876501572770,0.295,0.055695
Nyx,1.927084705579220,1.0,0.0556973
Anza,2.264865880852140,2.6,0.0560425
,0.8551251838327170,0.104,0.0567265
,2.117695129369310,3.160,0.0568081
Heracles,1.833626498489360,4.843,0.0584024
,0.8552509082427780,0.411,0.0587702
,1.509653043641600,0.875,0.0588508
,2.499324309645120,1.032,0.0591779
,1.233460578942240,0.886,0.0593575
,2.840586917466970,0.889,0.0593987
,2.680113337259360,0.940,0.0594796
,2.203830509838590,2.381,0.0599208
,2.251530091051890,4.692,0.0600285
,2.009754768739020,1.181,0.0606126
,1.131154847595070,0.087,0.0608896
,1.516074598360110,0.254,0.060903
,1.979411782845130,0.280,0.0609288
,1.846027023672220,0.411,0.0609533
,2.059566295374570,0.326,0.061181
,2.173091765577460,0.469,0.0615523
,2.390668040031520,1.947,0.0618761
,0.950985470266736,0.303,0.0621028
Anteros,1.430457204396520,2.3,0.0622122
,0.9079738794127180,0.272,0.0627368
,1.475757681412940,0.498,0.0631701
,2.216720811901730,1.819,0.0639419
,2.251124430731860,0.450,0.0639553
,1.285556674137820,0.244,0.0640749
,2.044988106303370,0.626,0.0641181
,1.14641691577019,0.669,0.0641187
,1.154960438907910,0.092,0.0641652
,1.409457939600110,0.729,0.0642271
,1.90486947667341,1.201,0.0642545
,2.656465695650240,1.339,0.064345
,1.083594568495310,0.302,0.0656096
,1.311309254682760,0.479,0.0660198
,1.260685826749880,0.709,0.066065
,0.7933949635952040,0.370,0.0661328
,1.679305407288420,0.123,0.0666246
,2.01848928128407,0.389,0.0666623
,1.890123314383290,0.218,0.0667455
,2.916920231102750,0.350,0.0668777
,1.108827397132870,0.846,0.0670489
Summanus,1.70331252412725,1.298,0.0674175
,0.9854059163154340,1.012,0.0684821
,1.135662072415270,0.164,0.0698062
,2.588563454164980,0.167,0.0701711
,2.193289681377190,1.237,0.0702075
,0.7387345694639290,0.59,0.0707244
Cruithne,0.9976941536555760,2.071,0.0708518
,1.130933312711200,0.099,0.0708588
Bivoj,1.893764498955710,0.4,0.0708921
Zeus,2.263322964554830,5.231,0.0709834
,1.515913673522170,0.615,0.0715792
Cuyo,2.148813259479380,5.7,0.071629
,2.257313593258960,0.739,0.0730634
,1.72204736064578,0.564,0.0732753
,0.7911156474543520,0.209,0.0734974
,0.7871457982830790,2.864,0.073525
,1.202649761016000,0.794,0.0735981
,1.54720951057674,0.467,0.0736358
Jason,2.212560496919460,1.4,0.0744951
Verenia,2.093061504619560,0.9,0.0747389
,1.516879747926360,0.828,0.0748828
,1.277247250655390,0.631,0.0751952
,1.426145763024850,1.484,0.0761643
,1.397579896740930,0.233,0.0762824
,1.32979613788753,0.093,0.0765867
,2.880253232840610,0.344,0.0770541
,2.087593303191430,0.378,0.0772491
,1.135416059076940,1.010,0.0773106
Camillo,1.413504837377650,2.306,0.0785709
,0.6262255386195800,0.361,0.0787204
,0.7669391756492010,0.371,0.0787988
Eger,1.404185282465100,1.5,0.079032
,1.545648197229930,0.242,0.0796848
,2.144883047608120,0.268,0.0801227
,1.355879855743810,2.363,0.080404
Kwiila,1.496278945493620,1.127,0.0808945
,0.8491512764675750,0.229,0.0817777
,2.027117778893270,0.358,0.0827746
,1.527339047946900,0.997,0.0830908
,2.559888475501090,0.903,0.0834235
,0.9993791373025670,0.379,0.0842148
,1.48952196467819,0.116,0.0855888
Alinda,2.476487672790800,4.2,0.0865708
,0.8927771804494730,0.344,0.0869387
,1.304626342132300,1.086,0.0871132
,0.8325212536055610,0.653,0.0872292
,1.890228079577710,1.119,0.0872604
,2.36622089072578,0.847,0.0874596
,1.240985984705460,0.772,0.0879217
,2.57957747031816,1.745,0.0880794
,2.191978076542290,1.044,0.0886422
,2.620219100116810,0.465,0.0896375
,0.8764814636519320,0.970,0.0903658
,1.396271852619450,0.788,0.0910184
,1.221593068929280,0.148,0.0910335
,2.128236665774320,0.128,0.0916414
,2.303934817188130,0.342,0.091999
,1.286614052083330,1.104,0.0928783
,1.009511086514480,1.434,0.0937501
,0.8819787221028620,0.134,0.0939994
,2.683327950219650,0.252,0.0952521
,0.9017559074768160,1.109,0.0953984
,1.456930475278940,0.609,0.0959911
,0.8952371483604660,0.470,0.096074
,1.620345796413780,0.183,0.0964636
,2.698425726813890,0.277,0.0966907
,2.232699693847990,3.5,0.0967333
,2.579958649378590,0.319,0.0970235
,2.274892979942380,0.922,0.0970307
,1.371213987228270,0.259,0.0972486
,1.666613938515730,0.191,0.0972657
,1.900165894575410,0.556,0.0973412
,2.022991222255070,0.938,0.0980155
Morpheus,2.295830269678060,1.8,0.0984312
,1.850752913660070,0.472,0.098839
,1.160545021322580,0.253,0.0992194
,2.563217636682020,0.404,0.100118
,2.14985156269942,0.505,0.100616
,1.723508522002270,0.320,0.100721
,1.323966107146700,0.747,0.101202
,2.537240419610050,1.859,0.101523
Seleucus,2.033192006134570,2.8,0.102357
,1.714878401522570,0.6,0.102802
,2.911919221711970,4.726,0.103135
,2.007335065231200,1.252,0.103203
,2.08509478740347,0.210,0.10334
,1.659816878659130,0.860,0.103351
,1.519266231424410,0.562,0.103387
,2.234424498619490,2.773,0.103439
,1.317422690739950,1.377,0.104104
Sisyphus,1.893971556395940,8.48,0.104496
,2.279331319688610,0.253,0.104578
,1.347251335974070,0.783,0.104684
,2.501810616375690,0.91,0.105203
,2.773896121166210,0.406,0.105292
,1.196313643132460,0.451,0.105373
,0.9508701893435940,0.381,0.1072
,1.248353751410710,0.356,0.10722
,2.362954160570860,0.856,0.107524
Amor,1.91941566321919,1.0,0.107716
,1.598069956589990,3.518,0.108017
,1.59020023202861,1.948,0.108437
,1.042336308456830,0.532,0.108463
,1.656553125396510,2.028,0.108574
Syrinx,2.465506025118420,1.8,0.108618
Quetzalcoatl,2.543337485245390,0.5,0.10862
,2.894198068525060,1.432,0.109928
,1.734030026121210,0.583,0.110205
,1.145568514646220,1.048,0.110256
,2.352375957567980,0.448,0.110481
Ivar,1.863481492921320,9.12,0.11161
,1.616912271875490,0.281,0.111636
,2.177578526405490,0.774,0.111784
,1.226378596305150,0.337,0.111806
,1.621433345749300,0.231,0.112015
,2.589655393860890,1.218,0.112335
Sekhmet,0.9474527232899400,0.935,0.112418
,1.698344272473820,0.543,0.112588
,1.996282174043560,0.134,0.112696
,2.235405907286830,0.6,0.112894
Aten,0.9667898316324990,1.1,0.113146
,0.907867669460647,0.882,0.113986
,0.829394501056535,3.879,0.114081
,2.315506520156240,0.458,0.115396
Hephaistos,2.15967147822406,5.7,0.115947
,1.219655812233250,0.352,0.118074
Sigurd,1.391579376585370,2.778,0.118482
,2.164353303259270,0.588,0.119385
,1.391019275905930,0.282,0.120164
,2.045090864248830,2.928,0.120871
,2.082232314815840,0.316,0.120999
,1.08915158852835,0.533,0.121794
,2.603576998905570,1.451,0.122539
,1.64596539271529,2.230,0.123272
,2.763476827958690,0.694,0.124273
,2.36430244721194,0.16,0.124758
,2.240192026151160,0.825,0.125522
,1.290448609445530,0.622,0.125842
,1.726675362052460,0.359,0.125941
,1.481090951694590,0.820,0.127001
,1.151189185600680,1.150,0.12776
,3.604888722790840,0.416,0.128732
,1.782854096446520,1.174,0.129454
,1.438714201673220,0.652,0.129693
,2.115506124010910,1.045,0.130535
,2.260522575391540,0.308,0.131005
,1.260153368075010,0.521,0.131073
,1.613291261645500,0.704,0.131457
,2.46217055784986,1.597,0.131486
Seneca,2.515689528604090,0.9,0.131765
,2.115447384243710,0.360,0.133265
,1.684304326505760,0.570,0.133921
,0.9136463587241590,1.075,0.134172
,1.586894177513220,1.959,0.13448
,1.958198221862560,0.786,0.134543
,1.551242307121440,2.339,0.135102
Betulia,2.196729768226880,5.8,0.135315
,2.165048693450340,0.784,0.135525
,1.917303942802560,0.844,0.135685
,2.797860642717800,1.724,0.135715
,2.893251351480180,2.423,0.135824
,1.865195949626430,0.4,0.135835
,1.39058933948117,0.310,0.135939
,1.34927664272373,0.602,0.137582
,2.426711519251730,1.626,0.138125
,2.072677316889040,0.153,0.138646
,2.694662455488080,0.451,0.138886
,1.653847461819360,0.742,0.139062
,1.536105991887230,1.222,0.13908
,2.373870895218070,0.698,0.140024
,1.916616755365490,0.351,0.140667
,0.8373059368203450,0.636,0.142491
,2.418953956200550,6.742,0.142538
,1.67559036799246,0.764,0.142673
,1.066341639587000,0.551,0.142803
,1.592742112635970,0.775,0.143083
,2.613250011277170,0.519,0.14338
,1.38706644508513,2.885,0.143861
,1.515780664837880,0.286,0.14457
,1.498803893500470,0.636,0.144711
,1.897277599036090,0.317,0.14546
,2.704792785250250,0.493,0.145726
,1.099828144271220,0.461,0.145905
,1.467985350600080,1.87,0.145955
,2.003887731124030,0.670,0.146417
,1.070425910023420,0.372,0.146487
,1.488541750031290,0.413,0.146727
,1.955618781596540,0.854,0.146869
,2.028993280934120,1.861,0.147684
,1.4857076825948,0.180,0.147926
,3.267156842385560,0.520,0.147967
,2.232627169456750,0.451,0.148556
Eros,1.458112258549550,16.84,0.149341
Ra-Shalom,0.8320301927914960,2.3,0.149853
,1.733779805679130,0.357,0.150092
,1.189200477546030,0.309,0.150262
,5.023619179397730,0.352,0.15076
,1.620539320306960,0.414,0.150849
,1.155598016887130,1.748,0.151655
,1.779958444188430,1.824,0.151835
,1.450174321674960,0.518,0.152202
,0.8579343437250700,0.941,0.152802
,1.754492889199110,2.054,0.15392
,1.261413272900030,1.680,0.154267
,0.9683226724297470,0.215,0.154711
,0.7283806723836570,1.4,0.154804
,1.497125727266510,0.758,0.155004
,2.43997500302537,0.372,0.155731
,0.8637596666752250,0.315,0.156277
Cerberus,1.080048254546600,1.2,0.156505
,1.338678873411160,1.641,0.156663
,1.618857890244250,0.965,0.156907
,0.9441533893857690,0.344,0.157459
,3.215969931766000,3.2,0.158873
,1.903342221740740,0.550,0.159365
,1.636420973454130,0.498,0.159415
,2.753971288613830,0.421,0.161011
,1.045023740661400,0.407,0.161707
,0.9297583816975240,1.646,0.161775
,1.427195570946860,1.059,0.161956
,0.9126230897235000,0.151,0.162807
,1.414506698175700,0.536,0.162848
,1.388507845976280,0.328,0.164212
,2.269675885895970,0.615,0.165865
,2.002334734982130,0.657,0.16738
,0.8804276034750220,0.374,0.167899
,1.22461211731564,1.265,0.168562
,1.626047369631560,0.658,0.172332
,0.9540088248433700,0.912,0.172415
,1.540307570749070,3.21,0.172981
Xanthus,1.042099590416160,1.3,0.17315
,3.243419900006620,3.962,0.173777
,1.380062935100290,0.946,0.174408
,0.8727037759776110,0.906,0.175179
,2.635561401807800,0.174,0.175971
,1.656408137257960,0.478,0.176888
Huma,1.544453918336280,0.7,0.177574
,1.489758700647860,0.384,0.177776
,2.600103010201080,2.70,0.178252
,1.25962946723017,1.126,0.178363
,2.637872096254490,4.299,0.178522
,2.988827587992250,1.784,0.179971
,2.866361600554340,1.522,0.181499
,1.118948328622010,0.447,0.181509
Antinous,2.258732646881470,2.1,0.182839
,2.564010753626120,1.236,0.183027
Krok,2.151171109974020,1.6,0.183489
,2.146625457246260,0.539,0.185248
,2.860859441881050,3.330,0.187761
,0.8966510910277590,0.777,0.188032
,2.250269500960580,2.131,0.188897
,1.618661501221810,0.198,0.189357
,2.317855366865530,3.945,0.189587
,2.821651835079010,2.3,0.190995
,1.55710770029293,2.441,0.191777
,2.410792802168980,0.313,0.193474
,2.897898147715480,5.272,0.193483
,1.406185849754090,0.630,0.193964
Eric,2.001160097453250,10.8,0.194159
,2.541879611350460,0.365,0.194247
,1.682794967207530,0.521,0.195215
,2.44837540599144,0.615,0.196587
,2.089433942093000,1.289,0.196982
,2.578948438718890,0.725,0.197032
,1.483165389618590,1.201,0.197552
,1.553004496685390,0.790,0.197734
,2.172192357944740,0.920,0.198312
,2.911404476022140,1.198,0.199398
,2.181039574956090,0.501,0.20001
,1.329799373878900,0.3,0.200351
,0.8474752772169730,0.568,0.202074
,3.126578928389780,2.082,0.203148
,1.720810908009160,1.316,0.203252
,1.462894742518620,1.433,0.203496
Davidharvey,2.849857901602360,4.106,0.2037
,2.254395919277580,1.671,0.204997
,1.458350479709810,0.383,0.206002
,3.119606785898240,2.538,0.206114
,2.137591160269260,1.089,0.206592
,1.64851839716286,0.676,0.207302
,2.417812026046280,0.585,0.209323
,2.762919761294770,0.408,0.209538
,0.9059584158158880,0.698,0.209656
,2.823572846482500,4.2,0.210137
,2.752391420504870,1.759,0.211241
,2.143746529703240,4.3,0.21186
,2.586348726870520,0.597,0.212053
,2.734847166243050,3.183,0.212293
,2.289630921679930,1.855,0.21232
,1.421010185967920,0.352,0.212625
,2.338552117750460,1.123,0.213804
,1.848257828891690,0.663,0.214545
Nefertiti,1.574459175382510,2.2,0.215293
,2.992568748427920,0.850,0.217413
Taranis,3.326042896792770,3.6,0.217656
,2.368940913958340,2.009,0.218914
,2.065817419353340,0.304,0.220507
,2.25309371522461,0.766,0.220528
,2.210281420220710,0.589,0.220552
,2.146630396231840,3.720,0.221011
,1.366505252228150,0.614,0.221539
,1.788251648881680,0.808,0.221713
,3.173408563788110,0.996,0.223162
,1.537249937683500,0.428,0.223183
,2.158915549505180,0.309,0.22465
,2.576389164517710,1.629,0.224759
,1.277807541674420,0.991,0.225951
,2.270061963568870,0.872,0.226537
,2.232919193676210,1.572,0.226602
,3.028227076885770,0.675,0.227239
,1.053290305838480,2.039,0.229585
,2.202701144415820,0.873,0.230417
,1.715629221039950,0.732,0.230873
Beltrovata,2.104776677546980,2.3,0.232119
,2.007530177438800,1.371,0.232362
,1.273991094207990,1.255,0.232749
,2.692196322216300,1.312,0.232789
,2.345495513842940,0.605,0.233642
,2.202069232701320,3.398,0.235827
,2.899945260816020,0.892,0.236325
,2.137770291999560,0.912,0.236371
,2.890386490876170,1.082,0.236781
Magellan,1.820287780089130,2.49,0.239016
,2.906664558682000,1.900,0.239893
,1.653590682147930,1.140,0.240291
,3.061296620014320,2.292,0.240678
Tezcatlipoca,1.70952097395044,4.3,0.245309
Zao,2.103180129288250,2.3,0.245362
Gordonmoore,2.199357748682940,2.3,0.245525
,1.411263310808060,0.577,0.246484
,2.351615720190830,1.024,0.247025
,1.421843240274060,1.651,0.247449
,1.535570050905680,1.222,0.247774
,2.565809054481180,2.750,0.247848
,2.65840745074767,0.758,0.248796
,1.052749734036690,0.657,0.249018
Amun,0.9736978573482670,3.341,0.250626
,2.040919543644610,1.617,0.251364
Boreas,2.273106337727050,3.5,0.252456
,1.521911979221890,0.666,0.252629
,0.9832464206250740,0.761,0.254075
,1.554486781239280,0.286,0.255478
,1.554571491197650,0.608,0.256273
,1.494763497576850,0.954,0.256596
,1.82422500822823,1.098,0.256996
,2.851571357686170,5.400,0.257247
,2.399032294705960,1.520,0.257722
,2.945016900683790,0.34,0.258586
,2.862451900124180,0.303,0.259137
,2.782649070363940,1.188,0.259762
,1.141399131330530,1.085,0.26145
,1.435784561669460,0.942,0.262925
,2.289206992467920,1.109,0.263434
,3.287860930473330,1.078,0.263513
,2.255281408337540,0.453,0.263936
,2.290147991988860,0.955,0.264239
,1.804167158817000,2.586,0.264399
,2.626907225938650,1.168,0.265218
,2.888958008713980,0.787,0.266251
,2.734764048027590,2.498,0.266368
Miwablock,2.201492439195210,2.884,0.267504
Daedalus,1.46108789916434,3.7,0.269151
,2.218387632752240,1.655,0.27007
,1.888845529771230,0.659,0.271032
,2.623648929013150,1.800,0.271357
,2.916693778502530,0.827,0.272692
,2.332817096408050,2.301,0.273339
,1.885869372528690,0.32,0.273813
,3.075518940619880,2.226,0.274394
,1.373175851707510,0.846,0.274466
,1.694477447360530,2.907,0.275904
,2.229119301414980,0.501,0.276115
